,Tiempo Jugado,Rendimiento,Por 90 Minutos
,Tiempo Jugado,Rendimiento,Por 90 Minutos
Equipo,PL,Pos.,PJ,Titular,Mín,Gls.,Ass,TP,TPint,TA,TR,Gls.,Ast,G+A,G-TP,G+A-TP
Equipo,PL,Pos.,PJ,Titular,Mín,Gls.,Ass,TP,TPint,TA,TR,Gls.,Ast,G+A,G-TP,G+A-TP
América
América,31,,34,374,,55,26,4,4,89,5,1.62,0.76,2.38,1.50,2.26
Atlante
Atlante,26,,34,374,,38,19,6,7,78,12,1.12,0.56,1.68,0.94,1.50
Atlas
Atlas,34,,34,374,,39,17,2,2,93,11,1.15,0.50,1.65,1.09,1.59
Chiapas
Chiapas,30,,34,374,,36,21,1,2,77,8,1.06,0.62,1.68,1.03,1.65
Cruz Azul
Cruz Azul,31,,34,375,,54,32,2,2,65,5,1.59,0.94,2.53,1.53,2.47
Guadalajara
Guadalajara,31,,34,374,,49,27,4,6,86,8,1.44,0.79,2.24,1.32,2.12
Juárez
Juárez,29,,34,374,,16,5,1,2,75,11,0.47,0.15,0.62,0.44,0.59
Monterrey
Monterrey,27,,34,374,,55,40,4,5,90,4,1.62,1.18,2.79,1.50,2.68
Morelia
Morelia,27,,34,374,,53,24,9,12,95,9,1.56,0.71,2.26,1.29,2.00
Pachuca
Pachuca,27,,34,374,,50,24,6,7,84,10,1.47,0.71,2.18,1.29,2.00
Puebla
Puebla,32,,34,374,,46,21,3,5,94,16,1.35,0.62,1.97,1.26,1.88
Querétaro
Querétaro,35,,34,374,,30,15,2,3,90,11,0.88,0.44,1.32,0.82,1.26
San Luis
San Luis,30,,34,374,,38,14,5,6,94,12,1.12,0.41,1.53,0.97,1.38
Santos
Santos,28,,34,374,,54,26,5,6,80,4,1.59,0.76,2.35,1.44,2.21
Tecos
Tecos,25,,34,375,,48,28,4,5,80,12,1.41,0.82,2.24,1.29,2.12
Toluca
Toluca,26,,34,374,,58,33,6,9,75,3,1.71,0.97,2.68,1.53,2.50
UANL
UANL,30,,34,374,,41,18,3,5,106,11,1.21,0.53,1.74,1.12,1.65
UNAM
UNAM,23,,34,374,,36,15,2,2,55,6,1.06,0.44,1.50,1.00,1.44
