Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1
1,León,28,16,6,6,61,37,+24,54,L W L W W,"20,340",Ángel Mena - 15,Rodolfo Cota,
2
2,Santos,28,16,6,6,54,39,+15,54,W W W L W,"20,855","Julio Furch, Brian Lozano - 12",Jonathan Orozco,
3
3,América,28,13,9,6,43,33,+10,48,W W L D L,"27,168",Henry Martín - 10,Guillermo Ochoa,
4
4,UANL,28,12,10,6,39,24,+15,46,L L W D W,"38,427",André-Pierre Gignac - 18,Nahuel Guzmán,
5
5,Cruz Azul,28,12,9,7,49,38,+11,45,W W W W W,"18,170",Jonathan Rodríguez - 16,José Corona,
6
6,Querétaro,28,13,6,9,44,34,+10,45,W L D D L,"21,994",Arnaud Ake - 6,Gil Alcalá,
7
7,Necaxa,28,12,6,10,50,39,+11,42,L L W L L,"14,558",Mauro Quiroga - 17,Hugo González Durán,
8
8,Morelia,28,12,5,11,48,42,+6,41,D W L W W,"19,307","Fernando Aristeguieta, Aldo Rocha - 7",Sebastián Sosa,
9
9,Guadalajara,28,11,8,9,41,39,+2,41,L W W W D,"30,262",Alan Pulido - 12,José Antonio Rodríguez,
10
10,Pachuca,28,11,6,11,43,38,+5,39,W W D W L,"20,049",Franco Jara - 15,Rodrigo Rey,
11
11,UNAM,28,10,8,10,41,39,+2,38,W L L D L,"22,645",Carlos González Espínola - 11,Alfredo Saldívar,
12
12,Atlético,28,9,6,13,33,46,-13,33,W W L D L,"15,957",Nicolás Ibáñez - 14,Carlos Felipe Rodríguez,
13
13,Tijuana,28,9,6,13,36,52,-16,33,D L L L W,"25,746","Camilo Sanvezzo, Ariel Nahuelpán - 6",Gibran Lajud,
14
14,Monterrey,28,8,8,12,37,40,-3,32,D L L D D,"37,682",Rogelio Funes Mori - 12,Marcelo Barovero,
15
15,FC Juárez,28,9,5,14,37,45,-8,32,D L W L L,"18,557",Dario Lezcano - 12,Iván Vázquez,
16
16,Puebla,28,8,7,13,27,38,-11,31,L W W D W,"18,874",Christian Tabó - 5,Nicolás Vikonis,
17
17,Atlas,28,9,3,16,29,43,-14,30,L L L L W,"25,015",Facundo Barcelo - 4,Camilo Vargas,
18
18,Toluca,28,6,9,13,32,44,-12,27,L L W D L,"15,143",Leonardo Fernández - 8,Alfredo Talavera,
19
19,Veracruz,18,1,5,12,11,45,-34,8,L W D L L,"11,587",Colin Kazim-Richards - 4,Sebastián Jurado,
